price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated
355000.0,1,1.75,750,20339,1.0,0,0,4,550,200,1946,1989
477000.0,4,2.75,1720,6270,2.0,0,0,3,1720,0,1978,0
260000.0,3,1.5,1270,20700,1.0,0,0,2,1150,120,1948,0
215000.0,3,1.0,1160,10384,1.0,0,0,4,1160,0,1969,0
280000.0,3,1.0,1330,20562,1.5,0,0,3,1330,0,1959,1989
540000.0,3,1.75,2050,9580,1.0,0,0,3,1400,650,1984,0
720500.0,4,2.5,3350,35298,2.0,0,0,4,3350,0,1985,0
330000.0,4,2.5,2105,6093,2.0,0,0,3,2105,0,2003,0
295000.0,3,1.5,1640,7222,2.0,0,0,4,1640,0,1908,0
499950.0,3,1.0,980,6380,1.0,0,0,3,760,220,1941,1994
275000.0,3,2.5,1480,15639,2.0,0,0,3,1480,0,1987,2000
735000.0,3,2.5,2820,8159,2.0,0,0,3,2820,0,2004,2003
310000.0,4,2.5,2660,12672,1.0,0,0,4,1740,920,1960,2001
205000.0,3,1.0,1050,8498,1.0,0,0,3,1050,0,1958,2004
489000.0,3,1.5,1020,9072,1.0,0,0,3,920,100,1930,1997
448000.0,2,1.5,1630,3780,1.0,0,0,4,890,740,1940,2001
549000.0,4,1.75,1290,3060,2.0,0,0,4,1290,0,1906,1990
437500.0,3,2.5,2320,36847,2.0,0,2,3,2320,0,1992,0
465000.0,4,2.25,1820,20349,1.0,0,0,5,1340,480,1977,0
410000.0,4,2.5,1700,9000,1.0,0,0,5,1700,0,1972,0
680000.0,3,2.0,1780,5720,1.0,0,0,5,980,800,1925,0
167500.0,1,1.0,690,1950,1.0,0,0,3,690,0,1928,1954
519950.0,3,2.25,1170,1249,3.0,0,0,3,1170,0,2014,0
215000.0,2,2.25,1610,2040,2.0,0,0,4,1610,0,1979,0
300000.0,2,1.0,820,3844,1.0,0,0,4,820,0,1916,0
367300.0,4,2.75,2190,14937,2.0,0,0,3,2190,0,1993,0
214950.0,3,1.75,1570,4875,1.0,0,0,4,1310,260,1977,0
490000.0,2,1.0,1840,3300,1.5,0,0,4,1130,710,1910,0
475000.0,6,3.0,3470,117612,1.5,0,0,3,3470,0,1924,2011
635000.0,3,2.5,1570,1433,3.0,0,0,3,1570,0,2010,0
350000.0,4,2.5,2800,9538,2.0,0,0,3,2800,0,1993,0
545000.0,3,1.75,1810,3000,1.5,0,0,4,1810,0,1903,0
198995.0,3,1.0,1410,8053,1.0,0,0,4,1410,0,1951,1999
963000.0,4,3.5,3280,6603,2.0,0,0,3,3280,0,2007,0
542500.0,3,2.5,2040,10086,2.0,0,0,3,2040,0,1987,2000
602500.0,4,2.5,2760,6850,2.0,0,0,3,2760,0,1999,0
405000.0,2,1.0,860,2599,1.0,0,0,4,860,0,1901,0
205000.0,3,1.75,1170,8239,1.0,0,0,3,1170,0,1981,2013
267000.0,3,2.25,1584,2800,2.0,0,0,3,1584,0,2012,1912
441000.0,3,2.75,1910,7280,1.0,0,0,3,1160,750,1979,2014
295000.0,1,1.0,700,2500,1.0,0,0,4,700,0,1907,0
231000.0,4,2.0,1530,6375,2.0,0,0,3,1530,0,1942,1983
270000.0,4,2.25,1900,8600,1.0,0,0,4,1900,0,1975,0
690000.0,5,3.5,2720,7598,2.0,0,0,3,1860,860,1993,0
738000.0,3,3.0,2630,4896,2.0,0,0,3,2630,0,2006,0
378500.0,2,1.0,730,7528,1.0,0,0,3,730,0,1946,0
925000.0,4,2.75,3730,8014,2.0,0,0,3,3730,0,2012,1912
299950.0,3,1.75,1790,7650,1.0,0,3,3,1790,0,1978,0
458000.0,3,1.0,1660,7500,1.0,0,0,4,1060,600,1940,2001
950000.0,3,3.25,3050,18892,1.0,1,4,4,1650,1400,1962,0
218000.0,3,1.0,960,9633,1.0,0,0,5,960,0,1982,0
750000.0,3,3.5,3390,10078,2.0,0,0,3,3040,350,2012,1912
452500.0,5,3.5,5960,13703,2.0,0,2,3,4770,1190,1984,0
429900.0,3,2.5,2370,5353,2.0,0,0,3,2370,0,2009,0
439950.0,3,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009
1895000.0,5,2.25,3120,16672,2.0,0,0,4,3120,0,1969,0
1050000.0,4,2.75,2250,3433,1.5,0,0,3,1500,750,1927,2013
525000.0,2,1.0,1080,3500,1.0,0,3,3,1080,0,1924,2011
219950.0,3,1.5,1620,9310,1.0,0,0,4,1620,0,1967,0
969990.0,4,2.5,4150,8436,2.0,0,0,3,4150,0,2014,0
660000.0,3,1.0,1210,9622,1.0,0,1,3,1210,0,1955,2009
589900.0,2,3.0,3160,66646,2.0,0,0,3,3160,0,1993,0
487028.0,2,1.5,1295,1093,2.0,0,0,3,1105,190,2007,0
210000.0,3,1.0,1240,4842,1.0,0,0,4,1240,0,1916,0
327500.0,3,2.25,2310,7200,2.0,0,0,3,2310,0,1990,2009
599950.0,4,3.5,2500,3080,2.0,0,0,3,1810,690,2008,0
588000.0,5,3.0,2190,4900,2.0,0,0,5,1490,700,1940,0
359000.0,3,1.5,1360,885,3.0,0,0,3,1360,0,2008,0
349950.0,4,2.5,2090,5289,2.0,0,0,3,2090,0,1989,0
753888.0,4,2.5,2660,5500,2.0,0,2,3,2660,0,2003,0
589000.0,3,2.0,2250,8800,1.0,0,0,4,1250,1000,1925,1968
620000.0,4,2.5,1910,7683,2.0,0,0,3,1910,0,1987,2000
500000.0,4,2.75,2280,15347,1.0,0,0,5,2280,0,1960,0
269900.0,4,1.75,1530,8750,1.5,0,0,4,1530,0,1968,0
525000.0,3,2.5,1580,1161,2.0,0,0,3,1010,570,2008,0
735000.0,4,2.75,2450,4187,2.0,0,2,3,2450,0,2010,0
205000.0,2,1.0,720,5040,1.0,0,0,3,720,0,1955,2005
250000.0,3,1.75,1770,8868,1.0,0,0,4,1770,0,1959,0
373000.0,3,2.5,1670,3565,2.0,0,0,3,1670,0,1999,0
318989.0,4,2.25,2000,9000,1.0,0,0,4,2000,0,1978,2000
415000.0,4,2.5,2020,5501,2.0,0,0,3,2020,0,2010,0
487000.0,4,2.5,2540,5001,2.0,0,0,3,2540,0,2005,0
255000.0,3,1.0,960,8100,1.0,0,0,3,960,0,1955,2005
2110000.0,4,1.0,2100,9200,1.0,0,0,3,1050,1050,1959,1989
780000.0,2,2.5,2560,2500,2.0,0,0,5,1690,870,1901,0
392500.0,4,2.5,2150,7303,2.0,0,0,3,2150,0,2005,0
945000.0,2,2.5,2540,7089,2.0,0,0,3,2540,0,2004,2003
470000.0,3,1.5,1500,5000,1.5,0,0,4,1140,360,1927,0
840000.0,4,2.5,3420,8405,2.0,0,0,3,3420,0,2000,0
570000.0,3,2.5,2400,6975,2.0,0,0,3,2400,0,1993,0
383000.0,3,1.0,1800,5612,1.0,0,0,4,1200,600,1942,1982
250000.0,3,2.0,1900,6660,1.0,0,0,5,950,950,1966,0
315000.0,3,2.25,1400,31626,1.0,0,0,2,1140,260,1987,0
552000.0,2,2.5,1380,951,3.0,0,0,3,1380,0,2006,0
435000.0,3,2.5,1420,2581,3.0,0,0,3,1420,0,2004,2003
0.0,2,2.25,1490,6770,1.5,0,0,3,1490,0,1926,2003
431000.0,4,2.5,2300,6087,2.0,0,0,3,2300,0,2001,0
440000.0,2,1.0,1230,6600,1.0,0,0,3,1130,100,1906,2014
354000.0,3,1.0,940,10368,1.0,0,0,3,940,0,1965,1993
569950.0,5,4.5,4850,40902,2.0,0,0,3,4850,0,2001,0
675000.0,5,2.25,2900,10300,1.0,0,0,3,1450,1450,1985,0
362000.0,3,2.25,1640,14374,1.0,0,0,4,1140,500,1963,0
913888.0,5,2.25,2370,15512,2.0,0,0,4,2370,0,1981,0
530000.0,4,1.75,2860,48351,1.0,0,0,3,1710,1150,1978,0
655000.0,4,3.5,2350,13402,2.0,0,3,3,1670,680,1994,0
439800.0,3,1.5,1120,6900,1.0,0,0,5,1120,0,1956,0
1870000.0,5,4.0,4510,15175,2.0,0,0,3,4510,0,1969,2002
565000.0,2,1.75,1670,4008,1.0,0,0,3,1670,0,2005,0
285000.0,2,1.0,1010,7200,1.0,0,0,3,1010,0,1975,0
802000.0,3,2.5,2580,13096,2.0,0,0,3,2580,0,1986,0
499000.0,3,2.5,1540,1326,3.0,0,0,3,1390,150,1995,0
250000.0,3,2.25,1765,7652,2.0,0,0,3,1765,0,1996,0
605000.0,4,2.5,2800,10786,1.0,0,0,3,1420,1380,1970,2014
898000.0,5,1.5,2680,28014,1.0,0,0,4,1450,1230,1963,0
900000.0,6,2.75,2300,24773,1.5,0,0,4,2300,0,1950,1985
560000.0,3,2.25,2070,15002,1.5,0,0,3,2070,0,1955,2013
678500.0,3,2.0,2460,6600,1.0,0,2,4,1370,1090,1952,0
545500.0,3,2.5,1560,9361,1.5,0,0,4,1360,200,1936,0
142500.0,4,0.75,1440,13300,1.0,0,0,3,1440,0,1948,1994
645000.0,3,2.5,1740,13750,2.0,0,0,4,1740,0,1975,0
595000.0,3,2.0,1480,5000,1.0,0,0,4,750,730,1928,0
789900.0,3,2.5,3420,25150,1.0,0,0,4,1750,1670,1987,0
461000.0,2,1.0,1060,7193,1.0,0,0,3,1060,0,1926,2003
170000.0,4,1.0,1920,13787,1.0,0,0,4,1220,700,1966,0
1005000.0,4,4.5,4225,284011,2.0,0,0,4,4225,0,1985,0
355000.0,4,2.5,2040,8265,2.0,0,0,3,2040,0,1996,0
445000.0,3,2.25,1990,7340,2.0,0,0,3,1990,0,1984,0
387000.0,3,1.0,1230,9568,1.0,0,0,5,1230,0,1962,0
280000.0,3,2.5,1600,4271,2.0,0,0,3,1600,0,2000,0
782000.0,4,2.5,2380,9614,2.0,0,0,4,2380,0,1991,0
219950.0,3,1.5,1650,9936,1.0,0,0,3,1090,560,1967,2011
300000.0,2,1.0,960,8153,1.0,0,0,3,960,0,1947,2012
405000.0,2,1.0,1020,8155,1.0,0,0,4,1020,0,1948,0
439900.0,2,2.0,1410,12282,1.5,0,0,5,1410,0,1909,1988
203000.0,3,1.0,1150,7156,1.0,0,0,4,1150,0,1953,1983
695000.0,3,2.75,2540,4694,2.0,0,0,3,2540,0,2005,0
465000.0,3,2.25,2670,7500,1.0,0,0,4,1640,1030,1966,0
343566.0,2,1.0,1100,4200,1.0,0,0,3,1100,0,1954,2005
615000.0,3,2.25,1760,1146,3.0,0,0,3,1760,0,2014,0
739000.0,4,2.5,2800,246114,2.0,0,0,3,2800,0,1999,0
444845.0,3,2.5,1600,3573,2.0,0,0,3,1600,0,2013,1923
735000.0,5,2.75,3390,5211,2.0,0,0,3,3390,0,2004,2003
489000.0,3,3.5,1500,1249,2.0,0,0,3,1240,260,2004,2003
805000.0,3,2.0,2710,4500,1.5,0,0,4,1880,830,1929,0
790000.0,5,3.25,2900,12160,1.0,0,0,4,1890,1010,1967,0
850000.0,5,2.75,2920,11880,1.0,0,0,5,1660,1260,1968,0
390000.0,3,3.25,1370,913,2.0,0,0,3,1100,270,2006,0
306000.0,4,2.5,2490,8124,2.0,0,0,3,2490,0,2001,0
200000.0,3,1.5,1140,8340,1.0,0,0,3,1140,0,1960,2012
440000.0,3,1.5,1270,1443,3.0,0,0,3,1270,0,2007,0
0.0,5,2.25,2880,11965,2.0,0,0,4,2880,0,1990,0
305000.0,3,1.0,950,13475,1.0,0,0,3,950,0,1950,2005
483453.0,4,2.75,2790,5527,2.0,0,0,3,2790,0,2014,0
267000.0,3,2.5,2495,4400,2.0,0,0,3,2495,0,2007,0
665000.0,4,2.5,2600,17388,2.0,0,0,3,2600,0,1996,0
382500.0,4,1.75,1560,8700,1.0,0,0,4,1560,0,1967,0
605000.0,3,2.25,2080,12134,1.0,0,0,4,1530,550,1973,0
592105.7143,3,2.5,1640,29970,2.0,0,0,3,1640,0,1992,0
1030000.0,4,2.5,2750,4800,2.0,0,0,3,1960,790,1905,2005
360000.0,2,1.0,1420,81892,1.0,0,0,3,1180,240,1956,2001
700000.0,3,1.75,2010,4905,1.0,0,0,5,1230,780,1912,0
1925000.0,5,4.25,4830,8050,2.5,0,2,4,3710,1120,1914,1945
355000.0,4,2.75,3000,5470,2.0,0,0,3,3000,0,2005,0
667000.0,3,1.75,3320,478288,1.5,0,3,4,2260,1060,1933,1982
415000.0,4,2.5,2000,5962,2.0,0,0,3,2000,0,1999,0
790000.0,4,3.5,3190,31450,2.0,0,0,3,3190,0,2010,0
464000.0,3,1.75,1630,28600,1.0,0,0,3,1630,0,1967,2011
229950.0,3,2.0,1410,7466,1.0,0,0,3,1410,0,1983,2009
417000.0,2,1.0,920,6600,1.0,0,0,3,920,0,1919,2003
0.0,4,1.5,2310,68824,2.0,0,0,4,2310,0,1968,0
455000.0,5,2.5,2240,7770,1.0,0,0,3,1340,900,1978,0
400000.0,3,2.0,1230,11413,1.0,0,0,3,990,240,1984,0
715000.0,2,2.5,2160,5581,1.0,0,0,3,2160,0,2002,0
537500.0,4,2.5,2550,4630,2.0,0,0,3,2550,0,2005,0
378500.0,3,2.5,2860,43821,2.0,0,0,4,2860,0,1990,0
1795000.0,4,3.25,4060,13000,2.0,0,3,3,4060,0,2000,0
1595000.0,5,3.0,3640,8239,2.0,0,3,3,2540,1100,1982,0
399000.0,2,1.0,940,4800,1.0,0,0,4,940,0,1911,1955
560000.0,4,2.25,1950,9800,1.0,0,0,3,1330,620,1968,1997
900000.0,3,2.5,3180,12600,2.0,0,0,4,3180,0,1978,2000
235000.0,2,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0
432000.0,3,2.25,1470,1578,2.0,0,0,3,1090,380,2007,0
525000.0,3,3.0,2470,36445,2.0,0,0,4,2470,0,1980,0
3000000.0,4,4.25,4850,12445,2.0,1,4,5,3850,1000,1989,0
355000.0,2,1.75,1650,4000,1.0,0,0,4,950,700,1947,1988
607000.0,3,1.0,1230,8114,1.0,0,0,4,1230,0,1951,1999
425000.0,3,2.5,2670,13218,1.0,0,0,4,2670,0,1988,0
465950.0,4,2.5,2340,6896,2.0,0,0,3,2340,0,2001,0
288350.0,3,1.5,1860,7963,1.0,0,0,3,1200,660,1963,2008
319950.0,2,1.0,1070,5824,1.0,0,2,5,1070,0,1949,0
210000.0,4,1.5,1920,10403,1.0,0,0,3,1370,550,1959,1989
515000.0,3,1.75,1580,9147,1.0,0,1,4,1210,370,1967,0
245700.0,3,2.25,1640,8400,1.0,0,0,3,1180,460,1968,1997
315368.7,3,2.5,3080,12476,2.0,0,0,3,3080,0,1990,2009
600000.0,3,1.75,1650,5100,1.0,0,0,5,1040,610,1908,0
767450.0,3,2.0,1630,7599,1.0,0,0,3,1630,0,2006,0
372977.0,3,2.5,1690,1618,2.0,0,0,3,1150,540,2014,0
890000.0,4,2.25,2770,13500,2.0,0,0,3,2770,0,1974,0
280000.0,3,2.0,1790,42399,1.0,0,0,4,1790,0,1990,0
627000.0,3,3.5,2710,3475,2.0,0,0,3,1650,1060,2005,0
229629.5,2,1.0,1100,8281,1.0,0,0,4,1100,0,1947,1988
840000.0,4,1.75,2330,4000,2.0,0,0,5,1300,1030,1924,1956
745000.0,3,1.75,1490,9800,1.0,0,0,4,1140,350,1947,1988
345000.0,3,2.5,1210,1420,3.0,0,0,3,1210,0,2008,0
606000.0,3,1.0,1500,3920,1.0,0,0,3,1000,500,1947,2012
280000.0,3,1.75,1230,8250,1.0,0,0,3,1230,0,1966,1963
1010000.0,3,3.25,2420,1923,2.0,0,2,3,1840,580,2006,0
600000.0,3,2.5,2460,108900,1.0,0,0,4,1860,600,1977,0
1149000.0,4,3.0,5940,11533,2.0,0,4,3,4950,990,2004,2003
491500.0,4,1.75,2190,125452,1.0,0,2,3,2190,0,1968,1997
707000.0,4,3.25,3200,7081,2.0,0,0,3,3200,0,2004,2003
479900.0,3,2.0,1980,12150,1.0,0,0,3,1980,0,1994,0
0.0,5,1.5,1500,7112,1.0,0,0,5,760,740,1920,0
276000.0,3,1.0,1140,5000,1.0,0,0,3,1140,0,1960,2012
250000.0,3,2.25,1920,7738,1.0,0,0,3,1520,400,1965,1993
411715.0,3,1.75,1840,5101,1.0,0,0,5,1040,800,1952,1998
310000.0,3,1.0,1480,7830,1.0,0,0,3,1480,0,1952,2008
234000.0,2,1.0,940,5375,1.0,0,0,4,940,0,1952,0
474800.0,2,3.25,1400,1243,3.0,0,0,3,1400,0,2000,0
423050.9259,2,1.0,890,4590,1.0,0,0,3,890,0,1923,1998
656500.0,4,2.0,2710,4750,1.0,0,0,4,1460,1250,1919,1985
500000.0,3,2.5,1940,37565,1.0,0,0,4,1940,0,1987,0
400000.0,4,2.75,1240,3867,1.0,0,0,3,800,440,1987,2000
915000.0,3,4.5,3850,62726,2.0,0,0,3,3120,730,2013,1923
300000.0,3,2.75,2090,9620,1.0,0,0,3,1340,750,1987,2000
308000.0,3,1.0,1640,18144,1.5,0,0,3,1640,0,1942,1999
488800.0,4,2.25,2170,9665,1.0,0,0,4,1300,870,1976,1992
295000.0,4,2.5,2290,4539,2.0,0,0,3,2290,0,2001,0
1000000.0,5,4.25,3920,16258,2.0,0,0,3,2900,1020,1990,2009
1250000.0,3,3.0,3760,8500,2.5,0,3,4,3060,700,1910,0
250000.0,3,1.75,1200,24805,1.0,0,0,3,1200,0,1984,0
193000.0,3,1.5,2200,5000,1.5,0,0,3,2200,0,1932,0
320000.0,3,2.25,1200,1400,3.0,0,0,3,1200,0,2005,0
450000.0,3,1.75,1480,8394,1.0,0,0,4,1480,0,1971,0
368250.0,3,2.5,2150,7484,2.0,0,0,3,2150,0,1988,2000
646212.5,4,2.5,3430,64441,2.0,0,0,3,3430,0,2013,1923
1610000.0,4,3.5,4390,11600,2.0,0,3,3,3060,1330,1990,2009
418500.0,3,2.5,2060,4399,2.0,0,0,3,2060,0,2007,0
565000.0,7,4.5,4140,9066,1.0,0,0,3,2070,2070,1978,0
440000.0,3,1.5,1290,1286,3.0,0,0,3,1290,0,2000,0
687500.0,4,2.75,3190,10970,2.0,0,0,3,3190,0,1994,0
520000.0,3,1.75,1940,219527,1.0,0,0,3,1940,0,1991,0
210000.0,3,2.5,1040,2643,2.0,0,0,3,720,320,2004,2003
558653.8462,3,2.5,1530,3210,1.5,0,0,5,1010,520,1928,1970
537000.0,3,2.5,1550,12920,2.0,0,0,5,1550,0,1999,0
740000.0,3,2.5,3000,25341,2.0,0,0,3,3000,0,1995,0
2351956.0,4,4.25,5010,19412,2.0,0,1,3,4000,1010,2014,0
425000.0,2,1.0,1320,8830,1.0,0,0,3,1020,300,1939,1969
210000.0,2,2.0,1680,5756,2.0,0,0,4,1680,0,1910,0
232333.3333,3,2.25,2430,73151,1.0,0,0,3,2430,0,1974,0
329000.0,4,2.5,1600,6765,1.0,0,0,3,830,770,1947,2011
989000.0,5,3.5,3280,4000,2.0,0,0,3,2440,840,2003,0
163785.7143,2,1.0,760,5500,1.5,0,0,3,760,0,1947,2012
425000.0,4,2.75,1680,9545,1.0,0,0,4,1080,600,1979,0
459900.0,3,1.75,2580,11000,1.0,0,0,4,1290,1290,1951,1999
160000.0,3,1.0,860,11900,1.0,0,0,4,860,0,1963,0
782000.0,4,3.5,5270,53428,2.0,0,0,3,3440,1830,2004,2003
1180000.0,5,3.75,3630,6000,1.5,0,0,3,2470,1160,2004,2003
300000.0,6,5.25,2860,5682,2.0,0,0,3,2860,0,1978,0
685000.0,3,1.75,1940,7313,1.0,0,1,4,1440,500,1960,2001
132250.0,4,2.25,1830,8734,2.0,0,0,4,1830,0,1991,0
321000.0,3,2.25,1347,1292,3.0,0,0,3,1347,0,2010,0
515000.0,4,2.5,2680,7178,2.0,0,0,3,2680,0,2004,2003
1920000.0,4,2.5,3070,34412,1.0,0,3,4,2070,1000,1950,1983
440000.0,3,1.75,1170,8740,1.0,0,0,4,1170,0,1968,0
460000.0,3,2.0,1760,9055,2.0,0,0,4,1760,0,1985,0
503000.0,2,1.75,2860,59612,1.0,1,4,3,1510,1350,1948,2003
352000.0,5,2.5,2420,8560,1.0,0,2,3,1620,800,1978,0
554729.0,4,2.5,2020,4350,2.0,0,0,5,1730,290,1943,0
285000.0,3,1.75,2380,6000,1.5,0,0,3,1320,1060,1935,1974
300000.0,3,2.5,2540,5050,2.0,0,0,3,2540,0,2006,0
500000.0,3,1.75,1620,4200,1.0,0,0,5,830,790,1945,0
435000.0,3,1.75,1310,8065,1.0,0,0,4,1310,0,1948,0
380000.0,4,2.25,2150,20181,1.0,0,0,3,1090,1060,1963,2008
667000.0,3,1.5,1720,8100,2.0,0,0,3,1720,0,1907,1983
460000.0,4,3.0,2230,52983,2.0,0,0,3,2230,0,1991,0
550000.0,4,2.75,2160,5005,1.0,0,0,3,1430,730,1987,2000
219950.0,3,2.25,1500,7615,1.0,0,0,3,1150,350,1984,0
575000.0,3,2.25,1700,3333,1.5,0,0,3,1100,600,1924,2011
399950.0,3,1.75,1560,5223,1.0,0,0,4,810,750,1940,2001
526000.0,3,1.75,1680,3420,1.0,0,0,3,960,720,1992,0
328000.0,4,2.5,2370,6500,2.0,0,0,3,2370,0,1998,2006
659500.0,4,3.0,2620,18362,1.0,0,0,4,1870,750,1956,0
367500.0,3,1.0,1660,11783,1.0,0,0,4,1160,500,1978,2000
500000.0,2,2.25,1290,1334,3.0,0,0,3,1290,0,2007,0
430000.0,4,2.25,1790,7203,1.0,0,0,4,1110,680,1973,0
278900.0,3,1.0,990,9798,1.0,0,0,3,990,0,1968,1997
236000.0,3,1.75,1330,6301,1.0,0,0,3,1330,0,1998,2006
339000.0,4,2.5,1830,8601,2.0,0,0,3,1830,0,2003,0
450000.0,3,1.75,1640,13500,1.0,0,0,3,1110,530,1940,1996
110700.0,2,1.0,680,8064,1.0,0,0,3,680,0,1941,1994
530000.0,3,2.5,1950,9906,2.0,0,0,3,1950,0,1988,2000
314000.0,4,2.5,2340,8990,2.0,0,0,3,2340,0,2003,0
535000.0,4,2.5,2280,65836,2.0,0,0,3,2280,0,2004,2003
235000.0,2,1.0,900,28800,1.0,0,0,1,900,0,1928,0
209950.0,3,1.5,1380,11130,1.0,0,0,3,1380,0,1960,2012
350000.0,4,2.25,2220,6953,2.0,0,0,4,2220,0,1999,0
432000.0,3,2.5,1970,4036,2.0,0,0,4,1970,0,2003,0
483945.0,2,1.75,1480,5120,1.0,0,0,4,840,640,1951,1999
335000.0,4,2.0,1480,3132,1.0,0,0,5,740,740,1910,0
174950.0,3,1.0,1060,5200,1.0,0,0,5,1060,0,1970,0
754950.0,3,2.5,2610,7256,2.0,0,0,3,2610,0,2014,0
400000.0,3,2.0,1760,6875,1.0,0,0,4,1760,0,1967,0
300000.0,3,2.5,2080,9827,2.0,0,0,3,2080,0,1989,0
300000.0,3,2.25,1660,5128,2.0,0,0,3,1660,0,2001,0
518000.0,3,1.5,1430,8000,1.0,0,0,4,1430,0,1956,0
941000.0,4,1.75,2320,3825,1.5,0,0,5,1820,500,1926,0
671000.0,4,3.0,3130,5700,1.5,0,0,3,1750,1380,1953,0
1215000.0,4,3.75,3820,53574,1.0,0,0,3,3820,0,1994,0
482000.0,5,2.25,2230,9600,1.0,0,0,3,1320,910,1978,0
183000.0,3,1.75,1070,8100,1.0,0,0,4,1070,0,1957,2001
400000.0,4,1.5,1390,7200,1.0,0,0,3,1140,250,1965,1993
284000.0,4,1.75,1880,8800,1.0,0,0,3,1130,750,1960,2012
400000.0,2,1.0,840,5510,1.0,0,0,3,840,0,1955,2005
665000.0,2,1.0,1110,3200,1.0,0,0,3,1110,0,1925,2002
274950.0,3,1.75,1670,7415,1.0,0,0,3,1320,350,1987,2000
385000.0,3,3.25,1320,1327,2.0,0,0,3,1040,280,2008,0
831000.0,4,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011
815000.0,4,2.5,3150,4203,2.0,0,0,3,3150,0,2002,0
660000.0,3,1.75,1320,5750,1.5,0,0,5,1320,0,1918,0
530000.0,3,1.75,1250,6041,1.5,0,0,5,1250,0,1942,0
619000.0,3,2.5,2720,6439,2.0,0,0,3,2720,0,2005,0
1025000.0,4,3.5,3320,19850,1.0,0,2,4,2040,1280,1977,0
548800.0,4,1.0,1660,4704,1.5,0,0,3,1260,400,1930,1997
366000.0,3,1.75,1520,8625,1.0,0,0,3,1520,0,1976,0
285000.0,3,2.5,2437,5136,2.0,0,0,3,2437,0,2011,0
830000.0,5,2.25,2780,10192,2.0,0,0,4,2780,0,1978,2000
235000.0,2,1.0,1140,1730,1.5,0,0,3,1010,130,2007,0
287000.0,3,1.0,1450,6000,1.0,0,0,4,1450,0,1953,1983
